,function,sup1,sup2,sup3,sup4,sup5,salary,gender,disabled,race,yearsinposition,yearsinprofession,age,cred1,cred2,highestdegree,inst1,inst2,inst3,inst4,inst5,instbudget,city,state,zip,country,category,instsize,insttype,median,mean,pop,b19013_001,no_male_hs_p,no_female_hs_p,at_least_hs_male_p,at_least_hs_female_p,at_least_bach_male_p,at_least_bach_female_p,male_unemployment,female_unemployment,snap,renter,median_rent,foreign_born,value_for_owner-occupied_housing_units:__total:_,"value_for_owner-occupied_housing_units:__less_than_$10,000_","value_for_owner-occupied_housing_units:__$10,000_to_$14,999_","value_for_owner-occupied_housing_units:__$15,000_to_$19,999_","value_for_owner-occupied_housing_units:__$20,000_to_$24,999_","value_for_owner-occupied_housing_units:__$25,000_to_$29,999_","value_for_owner-occupied_housing_units:__$30,000_to_$34,999_","value_for_owner-occupied_housing_units:__$35,000_to_$39,999_","value_for_owner-occupied_housing_units:__$40,000_to_$49,999_","value_for_owner-occupied_housing_units:__$50,000_to_$59,999_","value_for_owner-occupied_housing_units:__$60,000_to_$69,999_","value_for_owner-occupied_housing_units:__$70,000_to_$79,999_","value_for_owner-occupied_housing_units:__$80,000_to_$89,999_","value_for_owner-occupied_housing_units:__$90,000_to_$99,999_","value_for_owner-occupied_housing_units:__$100,000_to_$124,999_","value_for_owner-occupied_housing_units:__$125,000_to_$149,999_","value_for_owner-occupied_housing_units:__$150,000_to_$174,999_","value_for_owner-occupied_housing_units:__$175,000_to_$199,999_","value_for_owner-occupied_housing_units:__$200,000_to_$249,999_","value_for_owner-occupied_housing_units:__$250,000_to_$299,999_","value_for_owner-occupied_housing_units:__$300,000_to_$399,999_","value_for_owner-occupied_housing_units:__$400,000_to_$499,999_","value_for_owner-occupied_housing_units:__$500,000_to_$749,999_","value_for_owner-occupied_housing_units:__$750,000_to_$999,999_","value_for_owner-occupied_housing_units:__$1,000,000_or_more_",sex_by_age:__male:_,sex_by_age:__male:_under_5_years_,sex_by_age:__male:_5_to_9_years_,sex_by_age:__male:_10_to_14_years_,sex_by_age:__male:_15_to_17_years_,sex_by_age:__male:_18_and_19_years_,sex_by_age:__male:_20_years_,sex_by_age:__male:_21_years_,sex_by_age:__male:_22_to_24_years_,sex_by_age:__male:_25_to_29_years_,sex_by_age:__male:_30_to_34_years_,sex_by_age:__male:_35_to_39_years_,sex_by_age:__male:_40_to_44_years_,sex_by_age:__male:_45_to_49_years_,sex_by_age:__male:_50_to_54_years_,sex_by_age:__male:_55_to_59_years_,sex_by_age:__male:_60_and_61_years_,sex_by_age:__male:_62_to_64_years_,sex_by_age:__male:_65_and_66_years_,sex_by_age:__male:_67_to_69_years_,sex_by_age:__male:_70_to_74_years_,sex_by_age:__male:_75_to_79_years_,sex_by_age:__male:_80_to_84_years_,sex_by_age:__male:_85_years_and_over_,sex_by_age:__female:_,sex_by_age:__female:_under_5_years_,sex_by_age:__female:_5_to_9_years_,sex_by_age:__female:_10_to_14_years_,sex_by_age:__female:_15_to_17_years_,sex_by_age:__female:_18_and_19_years_,sex_by_age:__female:_20_years_,sex_by_age:__female:_21_years_,sex_by_age:__female:_22_to_24_years_,sex_by_age:__female:_25_to_29_years_,sex_by_age:__female:_30_to_34_years_,sex_by_age:__female:_35_to_39_years_,sex_by_age:__female:_40_to_44_years_,sex_by_age:__female:_45_to_49_years_,sex_by_age:__female:_50_to_54_years_,sex_by_age:__female:_55_to_59_years_,sex_by_age:__female:_60_and_61_years_,sex_by_age:__female:_62_to_64_years_,sex_by_age:__female:_65_and_66_years_,sex_by_age:__female:_67_to_69_years_,sex_by_age:__female:_70_to_74_years_,sex_by_age:__female:_75_to_79_years_,sex_by_age:__female:_80_to_84_years_,sex_by_age:__female:_85_years_and_over_,commute_over_60,full_time,part_time,high_rent_burden,extreme_rent_burden
2211,position22,0,0,0,4,1,49088.0,Man,False,Caucasian,1.0,1.0,,False,False,Bachelor's Degree,9,0,2,60,0,1250000.0,Fairbanks,AK,99775,United States,one,9223.0,Public Institution,"79,357","120,734","1,251",86579.0,0.0,0.0,100.0,100.0,75.17730496,32.69230769,8.495575221000001,10.09174312,0.0,100.0,1056.0,16.25560538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,0.0,0.0,0.0,2.0,192.0,87.0,42.0,101.0,46.0,50.0,2.0,0.0,2.0,8.0,12.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0,16.0,109.0,31.0,47.0,20.0,71.0,5.0,0.0,0.0,0.0,0.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.27607362,34.72392638,37.5,37.5
2212,position15,0,0,0,0,0,48131.0,Man,True,Caucasian,8.0,3.0,60.0,False,False,Associate's Degree,9,0,2,60,0,1250000.0,Fairbanks,AK,99775,United States,one,9223.0,Public Institution,"79,357","120,734","1,251",86579.0,0.0,0.0,100.0,100.0,75.17730496,32.69230769,8.495575221000001,10.09174312,0.0,100.0,1056.0,16.25560538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,0.0,0.0,0.0,2.0,192.0,87.0,42.0,101.0,46.0,50.0,2.0,0.0,2.0,8.0,12.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0,16.0,109.0,31.0,47.0,20.0,71.0,5.0,0.0,0.0,0.0,0.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.27607362,34.72392638,37.5,37.5
2216,position20,1,0,1,6,1,51625.0,Man,False,Caucasian,2.0,5.0,28.0,False,False,Bachelor's Degree,9,0,2,60,0,1250000.0,Fairbanks,AK,99775,United States,one,9223.0,Public Institution,"79,357","120,734","1,251",86579.0,0.0,0.0,100.0,100.0,75.17730496,32.69230769,8.495575221000001,10.09174312,0.0,100.0,1056.0,16.25560538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,0.0,0.0,0.0,2.0,192.0,87.0,42.0,101.0,46.0,50.0,2.0,0.0,2.0,8.0,12.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0,16.0,109.0,31.0,47.0,20.0,71.0,5.0,0.0,0.0,0.0,0.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.27607362,34.72392638,37.5,37.5
2217,position6,0,0,1,30,5,54225.0,Woman,False,Caucasian,3.0,5.0,28.0,False,False,Master's Degree,9,0,2,60,0,1250000.0,Fairbanks,AK,99775,United States,one,9223.0,Public Institution,"79,357","120,734","1,251",86579.0,0.0,0.0,100.0,100.0,75.17730496,32.69230769,8.495575221000001,10.09174312,0.0,100.0,1056.0,16.25560538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,0.0,0.0,0.0,2.0,192.0,87.0,42.0,101.0,46.0,50.0,2.0,0.0,2.0,8.0,12.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0,16.0,109.0,31.0,47.0,20.0,71.0,5.0,0.0,0.0,0.0,0.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.27607362,34.72392638,37.5,37.5
2218,position10,0,0,0,7,0,67495.0,Woman,False,Caucasian,3.0,3.0,,False,False,Bachelor's Degree,9,0,2,60,0,1250000.0,Fairbanks,AK,99775,United States,one,9223.0,Public Institution,"79,357","120,734","1,251",86579.0,0.0,0.0,100.0,100.0,75.17730496,32.69230769,8.495575221000001,10.09174312,0.0,100.0,1056.0,16.25560538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,0.0,0.0,0.0,2.0,192.0,87.0,42.0,101.0,46.0,50.0,2.0,0.0,2.0,8.0,12.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0,16.0,109.0,31.0,47.0,20.0,71.0,5.0,0.0,0.0,0.0,0.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.27607362,34.72392638,37.5,37.5
2219,position9,0,0,0,15,0,32000.0,Man,False,Caucasian,2.0,3.0,,False,False,Bachelor's Degree,9,0,2,60,0,1250000.0,Fairbanks,AK,99775,United States,one,9223.0,Public Institution,"79,357","120,734","1,251",86579.0,0.0,0.0,100.0,100.0,75.17730496,32.69230769,8.495575221000001,10.09174312,0.0,100.0,1056.0,16.25560538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,0.0,0.0,0.0,2.0,192.0,87.0,42.0,101.0,46.0,50.0,2.0,0.0,2.0,8.0,12.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0,16.0,109.0,31.0,47.0,20.0,71.0,5.0,0.0,0.0,0.0,0.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.27607362,34.72392638,37.5,37.5
2220,position20,0,0,0,0,0,47673.0,Man,False,Caucasian,5.0,5.0,41.0,False,False,Bachelor's Degree,9,0,2,60,0,1250000.0,Fairbanks,AK,99775,United States,one,9223.0,Public Institution,"79,357","120,734","1,251",86579.0,0.0,0.0,100.0,100.0,75.17730496,32.69230769,8.495575221000001,10.09174312,0.0,100.0,1056.0,16.25560538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,0.0,0.0,0.0,2.0,192.0,87.0,42.0,101.0,46.0,50.0,2.0,0.0,2.0,8.0,12.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0,16.0,109.0,31.0,47.0,20.0,71.0,5.0,0.0,0.0,0.0,0.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.27607362,34.72392638,37.5,37.5
2221,position20,0,0,0,3,0,32000.0,Woman,False,Caucasian,2.0,3.0,,False,False,Bachelor's Degree,9,0,2,60,0,1250000.0,Fairbanks,AK,99775,United States,one,9223.0,Public Institution,"79,357","120,734","1,251",86579.0,0.0,0.0,100.0,100.0,75.17730496,32.69230769,8.495575221000001,10.09174312,0.0,100.0,1056.0,16.25560538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,0.0,0.0,0.0,2.0,192.0,87.0,42.0,101.0,46.0,50.0,2.0,0.0,2.0,8.0,12.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0,16.0,109.0,31.0,47.0,20.0,71.0,5.0,0.0,0.0,0.0,0.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.27607362,34.72392638,37.5,37.5
2214,position22,2,0,0,3,3,51625.0,Man,False,Caucasian,2.0,2.0,30.0,False,False,No College Degree,9,0,2,60,0,1250000.0,Fairbanks,AK,99775,United States,one,9223.0,Public Institution,"79,357","120,734","1,251",86579.0,0.0,0.0,100.0,100.0,75.17730496,32.69230769,8.495575221000001,10.09174312,0.0,100.0,1056.0,16.25560538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,0.0,0.0,0.0,2.0,192.0,87.0,42.0,101.0,46.0,50.0,2.0,0.0,2.0,8.0,12.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0,16.0,109.0,31.0,47.0,20.0,71.0,5.0,0.0,0.0,0.0,0.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.27607362,34.72392638,37.5,37.5
2213,position15,0,0,0,0,0,48131.0,Woman,False,Caucasian,6.0,3.0,40.0,False,False,Master's Degree,9,0,2,60,0,1250000.0,Fairbanks,AK,99775,United States,one,9223.0,Public Institution,"79,357","120,734","1,251",86579.0,0.0,0.0,100.0,100.0,75.17730496,32.69230769,8.495575221000001,10.09174312,0.0,100.0,1056.0,16.25560538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,0.0,0.0,0.0,2.0,192.0,87.0,42.0,101.0,46.0,50.0,2.0,0.0,2.0,8.0,12.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0,16.0,109.0,31.0,47.0,20.0,71.0,5.0,0.0,0.0,0.0,0.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.27607362,34.72392638,37.5,37.5
